+---------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| Num Mem |   -1   | -0.75  |  -0.5  | -0.25  |   0    |  0.25  |  0.5   |  0.75  |   1    |
+---------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
|    3    |  0.97  |  0.97  |  0.97  |  0.97  |  0.0   |  0.03  |  0.03  |  0.03  |  0.03  |
|    4    | 0.915  | 0.915  | 0.915  | 0.915  |  0.0   | 0.085  | 0.085  | 0.085  | 0.085  |
|    5    | 0.9467 | 0.9467 | 0.9467 | 0.9467 |  0.0   | 0.0533 | 0.0533 | 0.0533 | 0.0533 |
|    6    |  0.95  |  0.95  |  0.95  |  0.95  | 0.0625 |  0.05  |  0.05  |  0.05  |  0.05  |
|    7    |  0.96  |  0.96  |  0.96  |  0.96  | 0.008  |  0.04  |  0.04  |  0.04  |  0.04  |
|    8    | 0.955  | 0.955  | 0.955  | 0.955  | 0.0233 | 0.045  | 0.045  | 0.045  | 0.045  |
|    9    |  0.95  |  0.95  |  0.95  |  0.95  | 0.0571 |  0.05  |  0.05  |  0.05  |  0.05  |
|    10   | 0.945  | 0.945  | 0.945  | 0.945  | 0.1262 | 0.055  | 0.055  | 0.055  | 0.055  |
|    11   | 0.9544 | 0.9544 | 0.9544 | 0.9544 | 0.1333 | 0.0456 | 0.0456 | 0.0456 | 0.0456 |
|    12   | 0.952  | 0.952  | 0.952  | 0.952  | 0.125  | 0.048  | 0.048  | 0.048  | 0.048  |
|    13   | 0.9445 | 0.9445 | 0.9445 | 0.9445 | 0.0836 | 0.0555 | 0.0555 | 0.0555 | 0.0555 |
|    14   | 0.9425 | 0.9425 | 0.9425 | 0.9425 | 0.1742 | 0.0575 | 0.0575 | 0.0575 | 0.0575 |
|    15   | 0.9523 | 0.9523 | 0.9523 | 0.9523 | 0.1962 | 0.0477 | 0.0477 | 0.0477 | 0.0477 |
|    16   | 0.9536 | 0.9536 | 0.9536 | 0.9536 | 0.1993 | 0.0464 | 0.0464 | 0.0464 | 0.0464 |
|    17   | 0.9507 | 0.9507 | 0.9507 | 0.9507 | 0.1953 | 0.0493 | 0.0493 | 0.0493 | 0.0493 |
|    18   | 0.9538 | 0.9538 | 0.9538 | 0.9538 | 0.2325 | 0.0462 | 0.0462 | 0.0462 | 0.0462 |
|    19   | 0.9624 | 0.9624 | 0.9624 | 0.9624 |  0.16  | 0.0376 | 0.0376 | 0.0376 | 0.0376 |
|    20   | 0.9467 | 0.9467 | 0.9467 | 0.9467 | 0.2328 | 0.0533 | 0.0533 | 0.0533 | 0.0533 |
|    21   | 0.9484 | 0.9484 | 0.9484 | 0.9484 | 0.2526 | 0.0516 | 0.0516 | 0.0516 | 0.0516 |
+---------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
