+---------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| Num Mem |   -1   | -0.75  |  -0.5  | -0.25  |   0    |  0.25  |  0.5   |  0.75  |   1    |
+---------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
|    3    |  0.99  |  0.99  |  0.99  |  0.99  |  0.01  |  0.01  |  0.01  |  0.01  |  0.01  |
|    4    |  1.0   |  1.0   |  1.0   |  1.0   |  1.0   |  0.0   |  0.0   |  0.0   |  0.0   |
|    5    |  0.99  |  0.99  |  0.99  |  0.99  | 0.6467 |  0.01  |  0.01  |  0.01  |  0.01  |
|    6    |  0.99  |  0.99  |  0.99  |  0.99  | 0.245  |  0.01  |  0.01  |  0.01  |  0.01  |
|    7    | 0.992  | 0.992  | 0.992  | 0.992  | 0.388  | 0.008  | 0.008  | 0.008  | 0.008  |
|    8    | 0.9933 | 0.9933 | 0.9933 | 0.9933 | 0.3267 | 0.0067 | 0.0067 | 0.0067 | 0.0067 |
|    9    |  0.99  |  0.99  |  0.99  |  0.99  | 0.2757 |  0.01  |  0.01  |  0.01  |  0.01  |
|    10   |  0.99  |  0.99  |  0.99  |  0.99  | 0.3562 |  0.01  |  0.01  |  0.01  |  0.01  |
|    11   |  0.99  |  0.99  |  0.99  |  0.99  |  0.21  |  0.01  |  0.01  |  0.01  |  0.01  |
|    12   | 0.987  | 0.987  | 0.987  | 0.987  | 0.181  | 0.013  | 0.013  | 0.013  | 0.013  |
|    13   | 0.9864 | 0.9864 | 0.9864 | 0.9864 | 0.1636 | 0.0136 | 0.0136 | 0.0136 | 0.0136 |
|    14   | 0.9892 | 0.9892 | 0.9892 | 0.9892 | 0.2975 | 0.0108 | 0.0108 | 0.0108 | 0.0108 |
|    15   | 0.9908 | 0.9908 | 0.9908 | 0.9908 | 0.0092 | 0.0092 | 0.0092 | 0.0092 | 0.0092 |
|    16   | 0.9907 | 0.9907 | 0.9907 | 0.9907 | 0.3143 | 0.0093 | 0.0093 | 0.0093 | 0.0093 |
|    17   | 0.992  | 0.992  | 0.992  | 0.992  | 0.414  | 0.008  | 0.008  | 0.008  | 0.008  |
|    18   | 0.9913 | 0.9913 | 0.9913 | 0.9913 | 0.0106 | 0.0088 | 0.0088 | 0.0088 | 0.0088 |
|    19   | 0.9918 | 0.9918 | 0.9918 | 0.9918 | 0.4076 | 0.0082 | 0.0082 | 0.0082 | 0.0082 |
|    20   | 0.9828 | 0.9828 | 0.9828 | 0.9828 | 0.1639 | 0.0172 | 0.0172 | 0.0172 | 0.0172 |
|    21   | 0.9884 | 0.9884 | 0.9884 | 0.9884 | 0.2737 | 0.0116 | 0.0116 | 0.0116 | 0.0116 |
+---------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
